Data;Hora (UTC);Temp. Ins. (C);Umi. Ins. (%)
11/10/2025;0;17,6;93,1
11/10/2025;100;17,7;94,4
11/10/2025;200;17,5;96,8
11/10/2025;300;17,4;98,9
11/10/2025;400;17,1;100,0
11/10/2025;500;16,9;100,0
11/10/2025;600;16,5;100,0
11/10/2025;700;16,2;100,0
11/10/2025;800;16,0;100,0
11/10/2025;900;16,0;100,0
11/10/2025;1000;16,4;100,0
11/10/2025;1100;18,0;93,6
11/10/2025;1200;19,9;77,6
11/10/2025;1300;21,2;71,8
11/10/2025;1400;23,0;64,1
11/10/2025;1500;24,8;55,4
11/10/2025;1600;26,3;51,9
11/10/2025;1700;27,1;48,7
11/10/2025;1800;27,5;46,8
11/10/2025;1900;28,0;45,0
11/10/2025;2000;27,4;46,6
11/10/2025;2100;27,4;45,6
11/10/2025;2200;25,2;55,6
11/10/2025;2300;22,5;81,0
12/10/2025;0;20,7;89,3
12/10/2025;100;19,4;96,9
12/10/2025;200;18,9;99,4
12/10/2025;300;18,5;100,0
12/10/2025;400;18,3;100,0
12/10/2025;500;18,2;100,0
12/10/2025;600;18,2;100,0
12/10/2025;700;18,2;99,8
12/10/2025;800;18,0;100,0
12/10/2025;900;17,8;100,0
12/10/2025;1000;19,4;92,7
12/10/2025;1100;20,5;85,2
12/10/2025;1200;23,4;68,4
12/10/2025;1300;25,6;57,8
12/10/2025;1400;26,9;51,2
12/10/2025;1500;28,5;44,5
12/10/2025;1600;29,4;40,4
12/10/2025;1700;30,1;37,9
12/10/2025;1800;29,8;38,5
12/10/2025;1900;28,6;40,3
12/10/2025;2000;27,2;41,1
12/10/2025;2100;25,6;53,1
12/10/2025;2200;23,4;59,4
12/10/2025;2300;22,5;62,7
13/10/2025;0;21,9;67,3
13/10/2025;100;21,0;77,9
13/10/2025;200;19,6;96,4
13/10/2025;300;19,3;100,0
13/10/2025;400;18,9;100,0
13/10/2025;500;18,7;100,0
13/10/2025;600;18,4;100,0
13/10/2025;700;18,2;100,0
13/10/2025;800;17,9;100,0
13/10/2025;900;17,9;100,0
13/10/2025;1000;18,4;100,0
13/10/2025;1100;19,5;100,0
13/10/2025;1200;21,7;91,5
13/10/2025;1300;22,2;84,9
13/10/2025;1400;21,9;85,8
13/10/2025;1500;22,2;84,0
13/10/2025;1600;21,8;89,2
13/10/2025;1700;20,7;98,8
13/10/2025;1800;20,3;100,0
13/10/2025;1900;20,2;100,0
13/10/2025;2000;20,5;100,0
13/10/2025;2100;20,5;100,0
13/10/2025;2200;20,0;100,0
13/10/2025;2300;19,6;100,0
14/10/2025;0;19,3;100,0
14/10/2025;100;19,1;100,0
14/10/2025;200;19,1;100,0
14/10/2025;300;19,1;100,0
14/10/2025;400;19,1;100,0
14/10/2025;500;19,2;100,0
14/10/2025;600;19,2;100,0
14/10/2025;700;19,1;100,0
14/10/2025;800;18,8;100,0
14/10/2025;900;18,8;100,0
14/10/2025;1000;19,1;100,0
14/10/2025;1100;19,5;100,0
14/10/2025;1200;21,5;95,7
14/10/2025;1300;24,7;67,4
14/10/2025;1400;26,0;56,8
14/10/2025;1500;26,4;54,9
14/10/2025;1600;27,5;52,7
14/10/2025;1700;27,7;51,2
14/10/2025;1800;29,0;46,6
14/10/2025;1900;27,4;50,5
14/10/2025;2000;27,2;49,1
14/10/2025;2100;23,9;54,9
14/10/2025;2200;20,7;65,9
14/10/2025;2300;18,9;77,6
15/10/2025;0;18,5;78,5
15/10/2025;100;18,5;84,0
15/10/2025;200;18,1;82,9
15/10/2025;300;17,8;81,5
15/10/2025;400;17,3;81,9
15/10/2025;500;16,9;84,2
15/10/2025;600;16,6;84,5
15/10/2025;700;16,4;82,3
15/10/2025;800;15,9;89,8
15/10/2025;900;15,8;93,2
15/10/2025;1000;17,7;83,0
15/10/2025;1100;20,1;69,1
15/10/2025;1200;22,2;60,8
15/10/2025;1300;23,8;56,0
15/10/2025;1400;25,5;50,6
15/10/2025;1500;27,3;47,1
15/10/2025;1600;28,6;44,4
15/10/2025;1700;29,3;42,7
15/10/2025;1800;29,3;42,9
15/10/2025;1900;28,2;46,2
15/10/2025;2000;27,3;49,7
15/10/2025;2100;24,0;60,5
15/10/2025;2200;20,7;74,1
15/10/2025;2300;18,8;85,8
16/10/2025;0;18,1;91,8
16/10/2025;100;17,7;95,5
16/10/2025;200;17,6;98,8
16/10/2025;300;17,5;99,4
16/10/2025;400;17,5;100,0
16/10/2025;500;17,5;100,0
16/10/2025;600;17,2;100,0
16/10/2025;700;16,9;100,0
16/10/2025;800;16,4;100,0
16/10/2025;900;16,5;100,0
16/10/2025;1000;18,1;96,9
16/10/2025;1100;21,2;76,1
16/10/2025;1200;24,4;60,7
16/10/2025;1300;26,1;55,7
16/10/2025;1400;28,0;48,4
16/10/2025;1500;29,4;40,6
16/10/2025;1600;31,0;37,6
16/10/2025;1700;31,5;36,2
16/10/2025;1800;32,8;31,9
16/10/2025;1900;33,1;29,6
16/10/2025;2000;32,6;29,9
16/10/2025;2100;29,7;44,5
16/10/2025;2200;25,8;64,6
16/10/2025;2300;24,0;70,3
17/10/2025;0;22,0;76,0
17/10/2025;100;20,9;76,5
17/10/2025;200;20,6;69,9
17/10/2025;300;20,0;71,5
17/10/2025;400;19,3;73,8
17/10/2025;500;18,9;75,1
17/10/2025;600;18,5;76,7
17/10/2025;700;18,8;69,7
17/10/2025;800;18,3;72,3
17/10/2025;900;18,4;74,3
17/10/2025;1000;19,9;74,7
17/10/2025;1100;24,2;54,7
17/10/2025;1200;26,6;46,2
17/10/2025;1300;28,6;40,1
17/10/2025;1400;30,6;34,1
17/10/2025;1500;32,2;32,9
17/10/2025;1600;33,2;31,1
17/10/2025;1700;33,4;29,6
17/10/2025;1800;33,9;29,1
17/10/2025;1900;33,8;27,4
17/10/2025;2000;33,2;29,4
17/10/2025;2100;28,2;48,5
17/10/2025;2200;24,6;81,0
17/10/2025;2300;24,1;86,3
18/10/2025;0;22,3;87,5
18/10/2025;100;21,9;90,8
18/10/2025;200;21,9;92,5
18/10/2025;300;20,6;97,5
18/10/2025;400;19,6;100,0
18/10/2025;500;19,7;100,0
18/10/2025;600;17,8;100,0
18/10/2025;700;18,3;100,0
18/10/2025;800;18,7;100,0
18/10/2025;900;19,1;100,0
18/10/2025;1000;19,5;100,0
18/10/2025;1100;20,2;100,0
18/10/2025;1200;20,7;100,0
18/10/2025;1300;21,9;100,0
18/10/2025;1400;22,4;98,9
18/10/2025;1500;22,0;100,0
18/10/2025;1600;22,0;100,0
18/10/2025;1700;21,4;100,0
18/10/2025;1800;20,1;100,0
18/10/2025;1900;19,8;100,0
18/10/2025;2000;19,6;100,0
18/10/2025;2100;19,7;100,0
18/10/2025;2200;19,5;100,0
18/10/2025;2300;19,5;100,0
19/10/2025;0;19,1;100,0
19/10/2025;100;18,2;100,0
19/10/2025;200;17,8;94,3
19/10/2025;300;17,2;86,1
19/10/2025;400;16,0;87,0
19/10/2025;500;14,8;82,1
19/10/2025;600;14,2;78,9
19/10/2025;700;14,0;78,1
19/10/2025;800;14,0;82,5
19/10/2025;900;14,4;82,8
19/10/2025;1000;14,7;85,6
19/10/2025;1100;15,4;82,4
19/10/2025;1200;16,2;80,2
19/10/2025;1300;17,1;78,0
19/10/2025;1400;17,7;70,4
19/10/2025;1500;19,0;64,4
19/10/2025;1600;19,2;62,6
19/10/2025;1700;19,4;60,3
19/10/2025;1800;18,5;63,3
19/10/2025;1900;18,5;58,6
19/10/2025;2000;16,4;65,1
19/10/2025;2100;14,8;72,0
19/10/2025;2200;14,1;75,0
19/10/2025;2300;13,6;79,7
20/10/2025;0;13,1;83,8
20/10/2025;100;12,9;85,2
20/10/2025;200;12,8;85,3
20/10/2025;300;12,1;88,4
20/10/2025;400;12,0;88,1
20/10/2025;500;11,8;90,6
20/10/2025;600;11,7;91,5
20/10/2025;700;11,7;88,2
20/10/2025;800;11,7;86,5
20/10/2025;900;11,9;80,9
20/10/2025;1000;13,4;72,1
20/10/2025;1100;15,2;64,3
20/10/2025;1200;16,9;53,6
20/10/2025;1300;18,7;46,3
20/10/2025;1400;20,2;42,2
20/10/2025;1500;21,1;40,2
20/10/2025;1600;21,8;39,3
20/10/2025;1700;21,3;39,3
20/10/2025;1800;21,1;38,9
20/10/2025;1900;20,4;39,3
20/10/2025;2000;18,8;42,8
20/10/2025;2100;17,2;47,7
20/10/2025;2200;15,4;57,8
20/10/2025;2300;14,1;71,3
21/10/2025;0;13,7;75,5
21/10/2025;100;13,6;76,4
21/10/2025;200;13,2;76,8
21/10/2025;300;13,0;78,7
21/10/2025;400;12,7;75,3
21/10/2025;500;12,1;75,1
21/10/2025;600;11,0;79,6
21/10/2025;700;10,5;76,7
21/10/2025;800;10,5;76,7
21/10/2025;900;10,4;79,5
21/10/2025;1000;12,7;74,2
21/10/2025;1100;15,3;64,4
21/10/2025;1200;17,8;50,8
21/10/2025;1300;19,8;41,9
21/10/2025;1400;21,5;35,1
21/10/2025;1500;22,6;33,7
21/10/2025;1600;;
21/10/2025;1700;;
21/10/2025;1800;;
21/10/2025;1900;;
21/10/2025;2000;;
21/10/2025;2100;;
21/10/2025;2200;;
21/10/2025;2300;;
